"employee_number","first_name","last_name","hire_date"
214099,"Holgard","Prenel","1986-01-01"
219203,"Unal","Cooley","1986-01-01"
103944,"Domenick","Dehkordi","1986-01-01"
200640,"Shahar","Waterhouse","1986-01-01"
492463,"Kwangjo","Zirintsis","1986-01-01"
104764,"Juichirou","Munke","1986-01-01"
202218,"Kristian","Bergere","1986-01-01"
22576,"Shawna","Reinhart","1986-01-01"
219853,"Shahid","Baaz","1986-01-01"
104083,"Basil","Matteis","1986-01-01"
469053,"Vidya","Dymetman","1986-01-01"
279357,"Manibrata","Stiles","1986-01-01"
498761,"Chaoyi","Kaiserswerth","1986-01-01"
414357,"Pranas","Baek","1986-01-01"
13094,"Sanjay","Servieres","1986-01-01"
13415,"Nathalie","Speer","1986-01-01"
47413,"Nirmal","Comyn","1986-01-01"
471203,"Jianhao","Serot","1986-01-01"
52692,"Domenico","Debuse","1986-01-01"
259440,"Subir","Shumilov","1986-01-01"
225277,"Hercules","Harbusch","1986-01-01"
262950,"Yinghua","Vidal","1986-01-01"
248293,"Bedir","Vanwelkenhuysen","1986-01-01"
221613,"Ziyad","Famili","1986-01-01"
65089,"Giri","Cooman","1986-01-01"
16483,"Kwangyoen","Karlin","1986-01-01"
28637,"Moto","Kenevan","1986-01-01"
232210,"Sumant","Stemann","1986-01-01"
448755,"Masaki","Reeker","1986-01-01"
224714,"Mario","Orlowska","1986-01-01"
224288,"Kazunori","Meriste","1986-01-01"
29119,"Toshiko","Felder","1986-01-01"
482916,"Vasilis","Kisuki","1986-01-01"
434949,"Hausi","Lores","1986-01-01"
72864,"Moie","McConalogue","1986-01-01"
245335,"Mario","Schrift","1986-01-01"
26365,"Hercules","Veevers","1986-01-01"
253787,"Filipe","Bottner","1986-01-01"
487879,"Yongmao","Fritzsche","1986-01-01"
48489,"Danae","Nyanchama","1986-01-01"
407967,"Tamiya","Simkin","1986-01-01"
77007,"Achilleas","Kroft","1986-01-01"
268761,"Zhanqiu","Buescher","1986-01-01"
100711,"Kwangyoen","Rosca","1986-01-01"
417922,"Ziyad","Bhattacharjee","1986-01-01"
262840,"Munehiko","Masaki","1986-01-01"
265749,"Uri","Asmuth","1986-01-01"
37711,"Sampalli","Godskesen","1986-01-01"
492784,"Mohammed","Bahk","1986-01-01"
415376,"Sungwon","Range","1986-01-01"
219621,"Constantino","Brookman","1986-01-01"
255744,"Mayuri","Muntz","1986-01-01"
496085,"Yongqiao","Reinhard","1986-01-01"
14845,"Theron","Homond","1986-01-01"
475924,"Tran","Herath","1986-01-01"
208807,"Zita","Shobatake","1986-01-01"
430556,"Arlette","Boguraev","1986-01-01"
232578,"Guadalupe","Smeets","1986-01-01"
441840,"Stein","Thiran","1986-01-01"
411185,"Abdelkader","Marrakchi","1986-01-01"
29708,"Sachar","Undy","1986-01-01"
465446,"Jaihie","Soicher","1986-01-01"
213442,"Vidar","Tibblin","1986-01-01"
88386,"Jiann","Bondorf","1986-01-01"
424450,"Dzung","Jervis","1986-01-01"
108318,"Poorav","Papastamatiou","1986-01-01"
445833,"Juyoung","Stanger","1986-01-01"
421721,"Shao","Reinhart","1986-01-01"
100812,"Saniya","Lanphier","1986-01-01"
476952,"Eirik","Duclos","1986-01-01"
483739,"Jiang","Bierbaum","1986-01-01"
433424,"Yongqiao","Dulay","1986-01-01"
458582,"Shir","Sambasivam","1986-01-01"
231980,"Deniz","Niizuma","1986-01-01"
64978,"Youssef","Janocha","1986-01-01"
89812,"Boriana","Vingron","1986-01-01"
31961,"Alejandra","Luce","1986-01-01"
90916,"Eishiro","Curless","1986-01-01"
417105,"Lijia","Rettelbach","1986-01-01"
42013,"Tianruo","Demri","1986-01-01"
298078,"Ewing","Naudin","1986-01-02"
239305,"Masoud","Brookman","1986-01-02"
466372,"Marin","Chachaty","1986-01-02"
10170,"Kasturi","Jenevein","1986-01-02"
204004,"Adamantios","Ullian","1986-01-02"
221076,"Richard","Prenel","1986-01-02"
88793,"Gully","Ghandeharizadeh","1986-01-02"
73834,"Kerryn","Zeilberger","1986-01-02"
38810,"Pohua","Roccetti","1986-01-02"
436531,"Taegyun","Hiraishi","1986-01-02"
103410,"Uwe","Swick","1986-01-02"
272354,"Danil","Panwar","1986-01-02"
400063,"Jungsoon","Zhiwei","1986-01-02"
429848,"Danco","Lundstrom","1986-01-02"
59575,"Patricio","Shumilov","1986-01-02"
18248,"Jouko","Zwicker","1986-01-02"
70832,"Zengping","Gargeya","1986-01-02"
407214,"Nathalie","Erva","1986-01-02"
215514,"Kien","Sidhu","1986-01-02"
472715,"Zhensheng","Laventhal","1986-01-02"
109469,"Georg","Felder","1986-01-02"
233124,"Khoa","Wendorf","1986-01-02"
87756,"Adel","Pero","1986-01-02"
493231,"Gianluca","Gini","1986-01-02"
233541,"Amalendu","Ecklund","1986-01-02"
267387,"Mohammad","Ghemri","1986-01-02"
481350,"Ioana","Crabtree","1986-01-02"
417078,"Shigenori","Sethi","1986-01-02"
291270,"Lorien","Riefers","1986-01-02"
47821,"Raimond","Mitina","1986-01-02"
484504,"Gou","Orlowski","1986-01-02"
476012,"Leaf","Vigier","1986-01-02"
412814,"Khalid","Dahlbom","1986-01-02"
432419,"Yifei","Brookner","1986-01-02"
22028,"Serif","Manderick","1986-01-02"
63933,"Phuoc","Lanteri","1986-01-02"
241219,"Lucian","Lovengreen","1986-01-02"
96020,"Poorav","Schwartzburd","1986-01-02"
91774,"Hugo","Pietracaprina","1986-01-02"
468647,"Seongbae","Szmurlo","1986-01-02"
209531,"Naftali","Itschner","1986-01-02"
233231,"Hilari","Merro","1986-01-02"
80701,"Ramachenga","Domenig","1986-01-02"
464568,"Leucio","Perry","1986-01-02"
33899,"Neelam","Deville","1986-01-02"
61124,"Nechama","Waymire","1986-01-02"
498613,"Adas","Hofmeyr","1986-01-02"
93216,"Dung","Chelton","1986-01-02"
99918,"Tristan","Raoux","1986-01-02"
260242,"Ramzi","Turnbull","1986-01-02"
238538,"Fumitaka","Pehl","1986-01-02"
238011,"Maren","Morrow","1986-01-02"
44574,"Larisa","Brookner","1986-01-02"
14104,"Sudhanshu","Demian","1986-01-02"
422911,"Kwangjo","Peral","1986-01-02"
62480,"Bedrich","Stemann","1986-01-02"
475269,"Rance","Cullers","1986-01-02"
206424,"Sanjit","Genther","1986-01-02"
468741,"Berhard","Plavsic","1986-01-02"
239791,"Luise","Radwan","1986-01-02"
440548,"Szabolcs","Eastman","1986-01-02"
238270,"Oguz","Mattern","1986-01-02"
217164,"Rosalie","McFarlan","1986-01-02"
425942,"Frazer","Litvinov","1986-01-02"
472417,"Yucel","Bojadziev","1986-01-02"
236360,"Hugh","Hitomi","1986-01-02"
459282,"Kousuke","Suwa","1986-01-02"
211104,"Heeju","Simmen","1986-01-02"
87400,"Lunjin","Berztiss","1986-01-02"
246379,"Odinaldo","Hertweck","1986-01-02"
433955,"Niteen","Daescu","1986-01-02"
409790,"Miquel","Marrakchi","1986-01-02"
58468,"Lucian","Limongiello","1986-01-02"
425997,"Elgin","Besselaar","1986-01-02"
29115,"Shiv","Furedi","1986-01-02"
478868,"Lijie","Gecsei","1986-01-02"
259830,"Holgard","Nations","1986-01-02"
264819,"Jenwei","Erez","1986-01-02"
248952,"Horward","Snedden","1986-01-02"
251665,"Maria","Granlund","1986-01-02"
200603,"Shuho","Koblitz","1986-01-02"
68692,"Behnaam","Monarch","1986-01-02"
80082,"Shaleah","Salverda","1986-01-02"
227969,"Falguni","Mandell","1986-01-02"
438915,"Marsha","Szilard","1986-01-02"
255619,"Rutger","Vesel","1986-01-02"
252138,"Kiyotoshi","Zaiane","1986-01-02"
498903,"Aria","Pluym","1986-01-02"
414045,"Akhilish","Spataro","1986-01-02"
454750,"Fumitake","Naudin","1986-01-02"
47828,"Mayuri","Manders","1986-01-02"
261507,"George","Driscoll","1986-01-02"
92210,"Kazuhito","Assaf","1986-01-02"
430475,"Tonia","Trystram","1986-01-03"
77045,"Arra","Perna","1986-01-03"
407078,"Rosella","Aloia","1986-01-03"
481247,"Tonia","Bednarek","1986-01-03"
108739,"Gad","Pesch","1986-01-03"
278845,"Maria","Figueira","1986-01-03"
424812,"Martina","Taneja","1986-01-03"
431325,"Valter","Egerstedt","1986-01-03"
476493,"Shahar","Dredge","1986-01-03"
99197,"Becky","Terlouw","1986-01-03"
219769,"Georg","Munoz","1986-01-03"
251579,"Remmert","Bottner","1986-01-03"
446301,"Hidde","Sichman","1986-01-03"
59094,"Adin","McDermid","1986-01-03"
15038,"Weidon","Dalphin","1986-01-03"
61515,"Mats","Curless","1986-01-03"
292851,"Qunsheng","Gurbaxani","1986-01-03"
28746,"Steve","Maquelin","1986-01-03"
437414,"Arnould","Kavvadias","1986-01-03"
14969,"Hongzue","Himler","1986-01-03"
451794,"Masali","Constantine","1986-01-03"
299327,"Alain","Griswold","1986-01-03"
493878,"Foong","Bala","1986-01-03"
448364,"Xuedong","Sinitsyn","1986-01-03"
220089,"Kiyomitsu","Woycyznski","1986-01-03"
477880,"Arvind","Furudate","1986-01-03"
432511,"Ewing","Baalen","1986-01-03"
45514,"Jessie","Alpin","1986-01-03"
71669,"Sachio","Aumann","1986-01-03"
435481,"Aloke","Glinert","1986-01-03"
455336,"Debaprosad","Hatcliff","1986-01-03"
440545,"Slavian","Tchuente","1986-01-03"
282926,"Tianruo","Stemann","1986-01-03"
261900,"Zongyan","Randt","1986-01-03"
486679,"Aleksander","Kavvadias","1986-01-03"
259411,"Faiza","Perry","1986-01-03"
440322,"Mingsen","Wuwongse","1986-01-03"
435043,"Eric","Gunderson","1986-01-03"
409995,"Tomoyuki","Grospietsch","1986-01-03"
290558,"Franziska","Linares","1986-01-03"
457634,"Zhongwei","Laurillard","1986-01-03"
496753,"Soenke","Syrzycki","1986-01-03"
265059,"Trygve","Rothenberg","1986-01-03"
69682,"Gor","Siksek","1986-01-03"
84329,"Shugo","Lindqvist","1986-01-03"
447011,"Guangming","Pashtan","1986-01-03"
487286,"Insup","Copas","1986-01-03"
491240,"Sasan","Kemmerer","1986-01-03"
279430,"Xianlong","Verhaegen","1986-01-03"
51525,"Itzchak","Rosay","1986-01-03"
435163,"Henk","Bharadwaj","1986-01-03"
247625,"Anoosh","Uhrik","1986-01-03"
99043,"Ebbe","Pagter","1986-01-03"
