"emp_no","emp_title_id","birth_date","first_name","last_name","sex","hire_date"
473302,"s0001","1953-07-25","Hideyuki","Zallocco","M","1990-04-28"
475053,"e0002","1954-11-18","Byong","Delgrande","F","1991-09-07"
57444,"e0002","1958-01-30","Berry","Babb","F","1992-03-21"
421786,"s0001","1957-09-28","Xiong","Verhoeff","M","1987-11-26"
282238,"e0003","1952-10-28","Abdelkader","Baumann","F","1991-01-18"
263976,"e0003","1959-10-30","Eran","Cusworth","M","1986-11-14"
273487,"s0001","1957-04-14","Christoph","Parfitt","M","1991-06-28"
461591,"s0002","1964-11-17","Xudong","Samarati","M","1985-11-13"
477657,"e0002","1962-12-18","Lihong","Magliocco","M","1993-10-23"
219881,"s0002","1956-04-24","Kwangyoen","Speek","F","1993-02-14"
